year_quarter,rainfall,temperature
1980-1,0.031571161933243094,300.0788762019231
1980-2,0.4478681664913847,301.25324291187326
1980-3,0.20397309493273247,300.3166374538256
1980-4,0.45472133718430635,299.5707782247792
1981-1,0.08015864435583264,299.7769792344835
1981-2,0.4363267878070441,300.9545626797519
1981-3,0.3148420965298977,300.08277395497197
1981-4,0.3723349068313809,299.443323550017
1982-1,0.11034711636602801,300.0304731580946
1982-2,0.39606962166726195,301.075202355018
1982-3,0.2827031761407815,300.1531020454739
1982-4,0.5180365480482545,299.4053586876911
1983-1,0.02674779668450329,300.5074242485894
1983-2,0.3385750027373399,301.67395857926255
1983-3,0.3487492417916613,300.3670495074728
1983-4,0.40150125790387053,299.5599813046663
1984-1,0.4528066460043159,299.4652844104138
1984-2,0.5060028769075825,300.64646593030994
1984-3,0.26721317693590924,299.6083665930706
1984-4,0.49794585164636096,299.21114846934444
1985-1,0.1870054602622962,299.89746738009984
1985-2,0.47556259203701784,300.85430841131523
1985-3,0.305549259297546,299.9083590300187
1985-4,0.5048398273065662,299.3532157566236
1986-1,0.3050979096442435,299.4899664984809
1986-2,0.333341520279642,301.08934708479995
1986-3,0.21684054192155383,299.75674040421194
1986-4,0.289091235026714,299.8574238652768
1987-1,0.066517240367829,300.4252977159288
1987-2,0.3723600283265078,301.45863560267856
1987-3,0.39021293818950326,300.5102947069251
1987-4,0.7348325867205819,299.9258535633916
1988-1,0.11339704785495869,300.5724618094308
1988-2,0.6269863620400384,301.0443282913376
1988-3,0.5890080612152776,300.1680314437203
1988-4,0.33700882457196474,299.6235431173573
1989-1,0.06212877389043512,299.6850663926866
1989-2,0.5044691357761579,300.7853567940848
1989-3,0.33837347850203164,299.7256446506666
1989-4,0.51718813832849,299.66908562701684
1990-1,0.1898526959121208,300.20961303710936
1990-2,0.470092350617047,301.0775418124356
1990-3,0.26166519243269903,300.06740437383235
1990-4,0.5215373588725897,299.6640724513842
1991-1,0.1527196913957583,300.06778123643664
1991-2,0.4410802684724287,301.03534539191276
1991-3,0.2823324650526015,300.41713449229366
1991-4,0.48003749549388586,299.38010572350544
1992-1,0.015672318637370678,300.0000687483903
1992-2,0.46254809014498793,301.12483567457934
1992-3,0.36875262483954047,299.80264215884
1992-4,0.5225577987730475,299.37397732942003
1993-1,0.05536924768239166,299.8114983452691
1993-2,0.3938829507678706,301.02681019541984
1993-3,0.27129080891608853,299.95061857804006
1993-4,1.008294285275038,299.3108022938604
1994-1,0.16973674576729358,299.8387986924913
1994-2,0.49308280926197356,300.96366228376115
1994-3,0.31650222465395583,299.9449336839759
1994-4,0.5878833830356571,299.2164923626444
1995-1,0.0730958711355911,300.38221842447916
1995-2,0.5995914330705953,300.8005934495192
1995-3,0.27184782829135323,300.03671165134597
1995-4,0.4733480568975186,299.8585772307023
1996-1,0.11711593344807465,300.174564571171
1996-2,0.47103670611977194,300.9235377049708
1996-3,0.3745279889553747,299.87075308094853
1996-4,0.5136543121188851,299.4534039704696
1997-1,0.05298880767077152,300.2168884277344
1997-2,0.43943616561591226,301.02672333769743
1997-3,0.4200057322159374,300.4142830890158
1997-4,0.9391135992482267,299.83853846010953
1998-1,0.04759862273931432,301.2813486735026
1998-2,0.4476040238514502,301.93431544041897
1998-3,0.4217508789151876,300.4132743503736
1998-4,0.8102567233145206,299.7543822578762
1999-1,0.19294025097042106,299.8608917236328
1999-2,0.5446074269711936,300.469246329842
